Execution Year,Lot No.,Location,User,Premium,District Council,Execution Date
2012,Kowloon Inland Lot No. 11208,86 Tai Kok Tsui Road Tai Kok Tsui,Hotel,6710000,YAU TSIM MONG,4 October 2012
2022,Lot No. 302 in Demarcation District No. 444,2-16 Lam Tin Street Kwai Chung,Non Residential,467500000 ( Note 5 ),KWAI TSING,15 March 2022
2002,New Kowloon Inland Lot No. 5301,G/F - 3/F Manning Theatre Building 1 Koon Wah Lane Tsz Wan Shan,Commercial / Residential,4300000,WONG TAI SIN,19 April 2002
2001,New Kowloon Inland Lot No. 5788,171 Shatin Pass Road Wong Tai Sin,Other Uses,4790000,WONG TAI SIN,23 August 2001
2006,New Kowloon Inland Lot No. 4395,Workshops 1A & 1B G/F Canny Industrial building 33 Tai Yau Street San Po Kong,Other Uses,2600000,WONG TAI SIN,17 June 2006
2001,New Kowloon Inland Lot No. 4976,27 - 33 Po Kong Village Road / 95 - 99 Fung Tak Road Diamond Hill,Commercial / Residential,1200000,WONG TAI SIN,11 April 2001
2006,New Kowloon Inland Lot No. 4395,Workshop 2 G/F Canny Industrial Building 33 Tai Yau Street San Po Kong,Other Uses,960000,WONG TAI SIN,13 June 2006
2003,Rural Building Lot No. 168 Section A Subsection 1,117 Repulse Bay Road Repulse Bay,Residential R3,270000,SOUTHERN,24 December 2003
2022,Inland Lot No. 8715,Kennedy Road Wan Chai,Commercial and Hotel,8000000,WAN CHAI,25 January 2022
2022,Inland Lot No. 8551,183 Queen's Road East Wan Chai,Commercial,8000000,WAN CHAI,25 January 2022
2022,New Kowloon Inland Lot No. 4017,9 Oxford Road Kowloon Tong,Residential R3,25910000,KOWLOON CITY,12 January 2022
2021,New Kowloon Inland Lot No. 789,12 Stafford Road Kowloon Tong,Residential R3,4620000,KOWLOON CITY,15 November 2021
2021,New Kowloon Inland Lot No. 4854,210-212 Choi Hung Road and 15-17 Ng Fong Street San Po Kong,Non Residential,383960000,WONG TAI SIN,17 December 2021
2021,Rural Building Lot No. 169 Remaining Portion,29A Lugard Road The Peak,Residential R3,2760000,CENTRAL & WESTERN,14 December 2021
2021,New Kowloon Inland Lot No. 167 Section B New Kowloon Inland Lot No. 167 Remaining Portion New Kowloon Inland Lot No. 168 Section B New Kowloon Inland Lot No. 168 Remaining Portion,53 53A 55 and 55A Kwun Tong Road Kwun Tong,Residential R1,3061420000,KWUN TONG,1 December 2021
2021,New Kowloon Inland Lot No. 818,8 York Road Kowloon Tong,Residential R3,62050000,KOWLOON CITY,23 September 2021
2021,New Kowloon Inland Lot No. 842,4 Suffolk Road Kowloon Tong,Residential R3,64120000,KOWLOON CITY,7 October 2021
2021,Kowloon Inland Lot No. 2145 Section C Remaining Portion,93 93A 95 & 95A Waterloo Road Kowloon Tong,Residential R2,362580000,KOWLOON CITY,25 October 2021
2021,Kwun Tong Inland Lot No. 416,50 Lai Yip Street Kwun Tong,Commercial,140410000,KWUN TONG,26 October 2021
2021,Kowloon Inland Lot No. 2097 Remaining Portion,294 294A 296 and 296A Prince Edward Road West Kowloon City,Residential R2,488220000,KOWLOON CITY,4 November 2021
2021,Yuen Long Town Lot No. 461,Yuen Long,Residential R1,818000000,YUEN LONG,4 November 2021
2007,New Kowloon Inland Lot No. 6237,9-11 Sheung Hei Street San Po Kong,Non Residential,2000000,WONG TAI SIN,7 May 2007
2007,Aberdeen Inland Lot No. 360,8 Heung Yip Road and 4 Yip Fat Street Aberdeen,Non Residential,74810000,SOUTHERN,25 April 2007
2009,Tuen Mun Town Lot No. 321,6 Tuen Yan Street Tuen Mun,Petrol Filling Station,1770000,TUEN MUN,27 April 2009
2007,Kwun Tong Inland Lot No. 234,83 Hung To Road Kwun Tong,Non Residential,288150000,KWUN TONG,19 January 2007
2007,New Kowloon Inland Lot No. 5856,18 Wang Chiu Road Kowloon Bay,Non Residential,447290000,KWUN TONG,16 January 2007
2007,Kowloon Inland Lot No. 2789 Section C Kowloon Inland Lot No. 2789 Section E Remaining Portion and Kowloon Inland Lot No. 2789 Section F Subsection 1 Remaining Portion,1131 - 1137 Canton Road Mongkok,Commercial,74490000,YAU TSIM MONG,16 January 2007
2006,Kwun Tong Inland Lot No. 89,7 Shing Yip Street Kwun Tong,Non Residential,358250000,KWUN TONG,29 December 2006
2006,Kwun Tong Inland Lot No. 20,414 Kwun Tong Road Kwun Tong,Non Residential,346280000,KWUN TONG,21 December 2006
2022,Inland Lot No. 8755,86A-86D Pok Fu Lam Road Pok Fu Lam,Residential R3,65350000,CENTRAL & WESTERN,24 May 2022
2022,Kowloon Inland Lot No. 7018 Kowloon Inland Lot No. 7019 Kowloon Inland Lot No. 7020 Kowloon Inland Lot No. 7021 Kowloon Inland Lot No. 7022 Kowloon Inland Lot No. 7023 Kowloon Inland Lot No. 7024 Kowloon Inland Lot No. 7025 Kowloon Inland Lot No. 7026 and Kowloon Inland Lot No. 7027,Whole 1/F Whole 2/F and Whole 3/F 1A (Formerly 1A-1K) Sai Yeung Choi Street South Mong Kok,Virtually Unrestricted,4140000,YAU TSIM MONG,12 May 2022
2009,Lot No. 531 in Demarcation District No. 183,1 Chung Ling Lane Sha Tin,Residential R2,14350000,SHA TIN,26 May 2009
2002,Sha Tin Town Lot No. 221,Fo Tan Sha Tin,Industrial,300000,SHA TIN,11 October 2002
2006,Sha Tin Town Lot No. 280,Units R1 & R2 on G/F and Units R3 & R4 on 1/F Citimark 28 Yuen Shun Circuit Yuen Chau Kok Shatin,Commercial,380000,SHA TIN,18 May 2006
2001,Sha Tin Town Lot No. 418,Area 100 Ma On Shan,Residential R1,2960000,SHA TIN,3 December 2001
2001,Sha Tin Town Lot No. 19,Fun City 7 Lek Yuen Street Shatin,Other Uses,300000,SHA TIN,7 June 2001
2011,Sha Tin Town Lot No. 519,Ma On Shan Rail - Che Kung Temple Station,Commercial / Residential,760000,SHA TIN,12 October 2011
2007,Sha Tin Town Lot No. 225,33-35 Sui Wo Road Sha Tin,Residential R3,470000,SHA TIN,27 November 2007
2007,Sha Tin Town Lot No. 375,Public Lorry Park Grandtech Centre 8 On Ping Street Shek Mun Sha Tin,Godown,450000,SHA TIN,4 June 2007
2001,Sha Tin Town Lot No. 280,Unit B2 G/F Citimark Plaza 28 Yuen Shun Circuit Shatin,Commercial,300000,SHA TIN,3 April 2001
2009,Sha Tin Town Lot No. 467,8623 Tai Po Road Sha Tin Heights Sha Tin,Residential R3,2200000,SHA TIN,17 April 2009
2002,Sha Tin Town Lot No. 434,Hang Lok Lane Shatin,Residential R2,100000,SHA TIN,3 September 2002
2004,Sha Tin Town Lot No. 221,15-29 & 31-43 Wo Shui Street Fo Tan Sha Tin,Industrial,500000,SHA TIN,24 September 2004
2007,Sha Tin Town Lot No. 347,J/O On Lai Street & On Ping Street Area 11 Shek Mun Shatin,Hotel,439020000,SHA TIN,6 September 2007
2003,Sha Tin Town Lot No. 481,Area 77 Ma On Shan Sha Tin,Residential R2,2469000,SHA TIN,23 June 2003
2012,Sha Tin Town Lot No. 206,5678 Tai Po Road Ma Liu Shui Sha Tin,Residential R3,16590000,SHA TIN,25 May 2012
2007,Lot No. 1494 in Demarcation District No. 189,37 Sha Tin Heights Road Sha Tin,Residential R3,3600000,SHA TIN,16 July 2007
2002,Sha Tin Town Lot No. 424,On Yiu Street Sha Tin,Other Uses,20000,SHA TIN,16 January 2002
2001,Sha Tin Town Lot No. 161,Hilton Plaza 3-9 Sha Tin Centre Street Sha Tin,Commercial / Residential,300000,SHA TIN,6 November 2001
2006,Sha Tin Town Lot No. 421,Tung Lo Wan Hill Road Tai Wai Sha Tin,Residential R2,5000000,SHA TIN,22 September 2006
2007,Sha Tin Town Lot No. 160,34-36 Tai Chung Kiu Road Yuen Chau Kok Sha Tin,Hotel,149670000,SHA TIN,14 November 2007
2007,Sha Tin Town Lot No. 280,Unit B1 on G/F Citimark 28 Yuen Shun Circuit Sha Tin,Commercial,450000,SHA TIN,29 June 2007
2002,Sha Tin Town Lot No. 448,Area 77 Ma On Shan,Residential R1,350000000,SHA TIN,18 February 2002
2011,Sha Tin Town Lot No. 19,7 Lek Yuen Street Sha Tin,Other Uses,500000,SHA TIN,25 May 2011
2008,Sha Tin Town Lot No. 529,Tai Wai Sha Tin,Residential R1,550000,SHA TIN,16 October 2008
2008,Sha Tin Town Lot No. 539,Fu Kin Street Sha Tin,Residential R2,3380000,SHA TIN,28 April 2008
2005,Sha Tin Town Lot No. 311,Po Fook Shan Sha Tin,Other Uses,742210000,SHA TIN,6 May 2005
2021,Sha Tin Town Lot No. 256,55-57 Tai Chung Kiu Road Sha Tin,Commercial,17060000,SHA TIN,3 February 2021
2013,Sha Tin Town Lot No. 347,Junction of On Ping Street and On Lai Street Shek Mun Sha Tin,Hotel,1680000,SHA TIN,29 April 2013
2018,Sha Tin Town Lot No. 389,Workshop 2 on Ground Floor 19 On Sum Street Sha Tin,Non Residential,14280000,SHA TIN,1 August 2018
2013,Lot No. 57 and Extension in Demarcation District No. 175,Hung Kiu Lane Sha Tin,Residential R4,1670000,SHA TIN,19 December 2013
2016,Lot No. 946 in Demarcation District No. 180,Shop B and the Open Yard at the rear thereof on Ground Floor and Cockloft B and Shop C and the Open Yard at the rear thereof on Ground Floor and Cockloft C 41 45 47 and 51 Tsuen Nam Road Tai Wai Sha Tin,Commercial,17580000,SHA TIN,9 December 2016
2014,Sha Tin Town Lot No. 248,Junction of Siu Lek Yuen Road Yuen Hong Street and Yuen Shun Circuit Sha Tin,Hotel or Industrial / Godown,351890000,SHA TIN,19 March 2014
2020,Sha Tin Town Lot No. 433,8 On Kwan Street Sha Tin,Other Uses,1380000,SHA TIN,8 December 2020
2020,Sha Tin Town Lot No. 445,9 Hin Wo Lane Sha Tin,Other Uses,1190000,SHA TIN,22 September 2020
2022,New Kowloon Inland Lot No. 5893,14 Wang Tai Road Kowloon Bay,Non Residential,724130000<br/>(Note 5),KWUN TONG,30 May 2022
2022,New Kowloon Inland Lot No. 4455 Remaining Portion,Workshop D on Ground Floor including the glass panel enclosing the shop front and one A/C platform on 1st Floor 1 Tai Yau Street San Po Kong,Non Residential,35980000,WONG TAI SIN,8 April 2022
2001,Rural Building Lot No. 310 and the Extension thereto,60 Peak Road,Residential R3,1280000,CENTRAL & WESTERN,15 August 2001
2001,New Kowloon Inland Lot No. 6277,Beacon Hill Road Kowloon Tong,Residential R3,1100000,KOWLOON CITY,8 October 2001
2023,Lot No. 301 Section A in Demarcation District No. 355 and Lot No. 301 Remaining Portion in Demarcation District No. 355,Pun Shan Street Tsuen Wan,Non Residential,265820000<br/>(Note 5),TSUEN WAN,27 February 2023
2023,Lot No. 1109 Remaining Portion in Demarcation District No. 253,8 Ka Shue Road Sai Kung,Residential R3,67770000,SAI KUNG,11 January 2023
2023,Shau Kei Wan Inland Lot No. 778,3 A Kung Ngam Village Road Shau Kei Wan,Other Uses,1450000,EASTERN,20 January 2023
2022,Rural Building Lot No. 1168,39 South Bay Road Repulse Bay,Residential R3,11510000,SOUTHERN,14 December 2022
2022,Kwun Tong Inland Lot No. 416,50 Lai Yip Street Kwun Tong,Commercial,21280000,KWUN TONG,5 December 2022
2022,Fanling Sheung Shui Town Lot No. 261,5 Lok Yip Road Fanling,Commercial / Industrial,12750000,NORTH,26 September 2022
2022,Rural Building Lot No. 670 Remaining Portion,75 Peak Road The Peak,Residential R3,1450000,CENTRAL & WESTERN,16 November 2022
2022,Sha Tin Town Lot No. 590 and the Extension thereto,6001 Tai Po Road-Sha Tin Sha Tin,Other Uses,14910000,SHA TIN,11 November 2022
2022,Kwai Chung Town Lot No. 161,2-10 Tai Yuen Street Kwai Chung,Non Residential,459000000<br/>(Note 5),KWAI TSING,7 November 2022
2017,New Kowloon Inland Lot No. 4854,210-212 Choi Hung Road and 15-17 Ng Fong Street San Po Kong,Hotel,212560000,WONG TAI SIN,14 March 2017
2013,Kwai Chung Town Lot No. 193,25 Kin Hong Street 26-34 Kin Chuen Street and 659 Castle Peak Road Kwai Chung Kwai Chung,Hotel,414890000,KWAI TSING,16 May 2013
2007,Kowloon Inland Lot No. 10658,23 Wylie Path Ho Man Tin,Residential R2,30560000,YAU TSIM MONG,6 August 2007
2006,New Kowloon Inland Lot No. 6259 and the Extension thereto,5 Fung Shing Street Ngau Chi Wan,Petrol Filling Station,2000,WONG TAI SIN,11 October 2006
2006,New Kowloon Inland Lot No. 5836,Workshop 1B G/F International Plaza 20 Sheung Yuet Road Kowloon Bay,Non Residential,6230000,KWUN TONG,11 October 2006
2006,New Kowloon Inland Lot No. 5836,Workshop 1A G/F International Plaza 20 Sheung Yuet Road Kowloon Bay,Non Residential,2720000,KWUN TONG,11 October 2006
2004,Kowloon Inland Lot No. 6374,46-48 Anchor Street Tai Kok Tsui,Hotel,14330000,YAU TSIM MONG,26 January 2004
2003,Kowloon Inland Lot No. 11110,Hung Hom Bay Reclamation Area,Commercial,1000000,YAU TSIM MONG,17 December 2003
2001,Kowloon Inland Lot No. 11077,KCRC Freightyard Extension Hung Hom Bay Reclamation,Commercial / Other Uses,160000000,YAU TSIM MONG,6 February 2001
2010,Lot No. 868 Remaining Portion in Demarcation District No. 1 Lamma Island,Nga Kau Wan Lamma Island,Residential R3,630000,ISLANDS,20 October 2010
2009,Shek O Inland Lot No. 64,4 Shek O Headland Road Shek O Headland,Residential R3,90880000,SOUTHERN,28 July 2009
2004,Chok Ko Wan Lot No. 1,Penny's Bay Lantau Island,Other Uses,25000,ISLANDS,19 April 2004
2012,Inland Lot No. 2411 Section B Subsection 1 Section A Inland Lot No. 2411 Section B Subsection 1 Section B Inland Lot No. 2411 Section B Subsection 1 Remaining Portion Inland Lot No. 2411 Section B Subsection 2 Inland Lot No. 2411 Section B Subsection 3 Inland Lot No. 2411 Section B Subsection 4 Inland Lot No. 2411 Section B Subsection 5 Inland Lot No. 2411 Section B Subsection 6 Inland Lot No. 2411 Section B Remaining Portion Inland Lot No. 2411 Section C Subsection 1 Section A Inland Lot No. 2411 Section C Subsection 1 Section B Inland Lot No. 2411 Section C Subsection 1 Remaining Portion Inland Lot No. 2411 Section C Subsection 2 Inland Lot No. 2411 Section C Remaining Portion Inland Lot No. 2411 Section D Subsection 1 Inland Lot No. 2411 Section E Subsection 1 Inland Lot No. 2411 Section E Subsection 2 and Inland Lot No. 2411 Section E Remaining Portion,2 3 6 7 8 9 11 12A 14 and 15 New Eastern Terrace and 5 7 9 and 11 Dragon Road North Point,Residential R1,3748770000,WAN CHAI,22 June 2012
2007,Inland Lot No. 7903 and the Extension thereto,13-15 Tai Hang Road Tai Hang,Residential R2,1000000,WAN CHAI,19 April 2007
2020,Rural Building Lot No. 757,138 and 138A Pok Fu Lam Road Pok Fu Lam,Residential R3,52550000,SOUTHERN,26 August 2020
2010,Aberdeen Inland Lot No. 352,38 Wong Chuk Hang Road Wong Chuk Hang,Commercial,71020000,SOUTHERN,12 October 2010
2010,Rural Building Lot No. 800,20-26 Cape Road Chung Hom Kok,Residential R3,57720000,SOUTHERN,6 July 2010
2010,Rural Building Lot No. 224,53 Stubbs Road Mid-Levels,Residential R3,2000000,WAN CHAI,15 June 2010
2001,Inland Lot No. 970 Remaining Portion Inland Lot No. 970 Section A Remaining Portion Inland Lot No. 970 Section B Subsection1 Remaining Portion Inland Lot No. 971 Remaining Portion Inland Lot No. 7076 Remaining Portion and Inland Lot No. 7077 Remaining Portion,31E & F 33-39 Wyndham Street Central,Virtually Unrestricted,6690000,CENTRAL & WESTERN,27 November 2001
2001,Inland Lot No. 8393,3 Tregunter Path The Peak,Residential R2,2000600,CENTRAL & WESTERN,6 December 2001
2001,Inland Lot No. 2441,192 Victoria Road Pok Fu Lam,Residential R4,600000,SOUTHERN,9 November 2001
2001,Tung Chung Town Lot No. 2,Tung Chung Lantau Island,Commercial,770000,ISLANDS,1 February 2001
2001,Inland Lot No. 8832,7-8 Fuk Kwan Ave Tai Hang,Residential R2,300000,WAN CHAI,16 February 2001
2001,New Kowloon Inland Lot No. 6003 Remaining Portion,Fat Tseung Street Cheung Sha Wan,Industrial,300000,SHAM SHUI PO,19 January 2001
2015,Lot No. 1927 Section A in Demarcation District 107 and Lot No. 1927 Remaining Portion in Demarcation District 107,Sha Po Yuen Long,Residential R3,219790000,YUEN LONG,1 June 2015
2008,Inland Lot No. 5749 Remaining Portion,44 Stubbs Road Happy Valley,Residential R3,250730000,WAN CHAI,5 August 2008
2008,Rural Building Lot No. 215 and the Extension thereto and the 2nd Extension thereto,216 Victoria Road Kennedy Town,Residential R3,22890000,SOUTHERN,23 May 2008
2007,Inland Lot No. 7863 Section O,5 Morrsom Drive Jardine's Lookout,Residential R3,2200000,WAN CHAI,10 August 2007
2006,Inland Lot No. 8898,Harbour View Street Central,Commercial,450000,CENTRAL & WESTERN,10 November 2006
2006,Rural Building Lot No. 323,1 Peak Road The Peak,Residential R3,544000,WAN CHAI,13 October 2006
2006,Rural Building Lot No. 1106,6-10 Black's Link Wong Nai Chung,Residential R3,3040000,WAN CHAI,19 April 2006
2005,Inland Lot No. 2071 Section B,134-136 Kennedy Road Mid-Level East,Residential R3,270000,WAN CHAI,3 January 2005
2004,Rural Building Lot No. 349 Remaining Portion,11A Shouson Hill Road West Shouson Hill,Residential R3,13810000,SOUTHERN,3 November 2004
2004,Rural Building Lot No. 423,15 Mt. Cameron Road The Peak,Residential R3,2380000,WAN CHAI,31 May 2004
2004,Rural Building Lot No. 1106,6 Black's Link The Peak,Residential R3,640000,WAN CHAI,3 May 2004
2003,Inland Lot No. 8898,Hong Kong Station,Other Uses,3570000,CENTRAL & WESTERN,29 August 2003
2003,Inland Lot No. 8898,Hong Kong Station,Other Uses,3650000,CENTRAL & WESTERN,1 April 2003
2003,Rural Building Lot No. 204,30 Peak Road The Peak,Residential R3,600000,WAN CHAI,4 February 2003
2002,Inland Lot No. 7878,10-12 Peak Road The Peak,Residential R3,800000,WAN CHAI,26 November 2002
2002,Inland Lot No. 2305 and the Extension thereto,12B Bowen Road Mid-Levels,Residential R2,6890000,WAN CHAI,22 August 2002
2022,Lot No. 1928 in Demarcation District No. 107,Castle Peak Road Tam Mi Au Tau Yuen Long,Commercial,2000000,YUEN LONG,29 September 2022
2022,New Kowloon Inland Lot No. 6602,Yau Tong,Residential R1,14150000,KWUN TONG,16 September 2022
2022,Kowloon Inland Lot No. 2789 Section D Remaining Portion,18 Bute Street Mong Kok,Commercial,5470000,YAU TSIM MONG,16 September 2022
2022,Lot No. 1967 in Survey District No. 2,Sai Kung,Residential R4,23370000,SAI KUNG,9 September 2022
2018,Kowloon Inland Lot No. 11080,Flat E and Flat F on Nineteenth Floor Tower 3 1 Austin Road West Tsim Sha Tsui,Commercial / Residential,32600,YAU TSIM MONG,22 June 2018
2017,Kowloon Inland Lot No. 11080,Flat G on Forty First Floor and Flat G on Forty Second Floor Tower III 1 Austin Road West Tsim Sha Tsui,Commercial / Residential,32600,YAU TSIM MONG,18 April 2017
2016,Kowloon Inland Lot No. 11080,Duplex Flat A on Seventy Ninth Floor and Duplex Flat B on Seventy Ninth Floor Tower 1 1 Austin Road West Tsim Sha Tsui,Commercial / Residential,32600,YAU TSIM MONG,8 June 2016
2016,Kowloon Inland Lot No. 11080,Duplex Flat B on Seventy Seventh Floor and Duplex Flat C with flat roof on Seventy Seventh Floor Tower 1 1 Austin Road West Tsim Sha Tsui,Commercial / Residential,32600,YAU TSIM MONG,18 May 2016
2014,Kowloon Inland Lot No. 11080,Flat A on Seventy Eight Floor and Flat A on Seventy Nine Floor Block 2A 1 Austin Road West Tsim Sha Tsui,Commercial / Residential,2248350,YAU TSIM MONG,21 November 2014
2015,Kowloon Inland Lot No. 11146,Flat C on Thirty Eight Floor Flat C on Thirty Nine Floor and Flat A including the flat roof on Forty Floor Tower 8 10 Hoi Fai Road Tai Kok Tsui,Residential R1,78350,YAU TSIM MONG,1 June 2015
2015,Kowloon Inland Lot No. 10988,Flat A on Fourth Floor together with Flat Roof and Flat A on Fifth Floor Block 1 2-20 Palm Street Tai Kok Tsui,Residential R1,28350,YAU TSIM MONG,23 April 2015
2014,Kowloon Inland Lot No. 11152,Flat A (including balcony) on Forty Eight Floor and Flat A (including balcony) on Forty Nine Floor Tower 9 8 Hoi Fai Road Tai Kok Tsui,Residential R1,508350,YAU TSIM MONG,15 November 2014
2001,Lot No. 3689 Section A in Demarcation District No. 120 and Lot No. 3689 Section C in Demarcation District No. 120,65-67 Castle Peak Road Yuen Long,Commercial / Residential,3930000,YUEN LONG,5 September 2001
2001,Yuen Long Town Lot No. 500,Tai Tong Road Yuen Long,Residential R2,24080000,YUEN LONG,1 August 2001
2009,Tuen Mun Town Lot No. 465,So Kwun Wat Tuen Mun,Residential R2,4190000,TUEN MUN,15 January 2009
2007,Tuen Mun Town Lot No. 400,Flat C on 26/F and Duplex Flat C on 27/F and 28/F (including flat roofs) Block 3 Grand Pacific Views Palatial Coast Siu Lam Castle Peak Road Tuen Mun,Residential R2,150000,TUEN MUN,8 November 2007
2005,Lot No. 338 Remaining Portion in Demarcation District No. 355,2-6 Sha Tsui Road Tsuen Wan,Hotel,156360000,TSUEN WAN,10 January 2005
2018,Tai Po Town Lot No. 221,Shan Tong Road Lai Chi Shan Tai Po,Residential R2,4800000,TAI PO,27 February 2018
2005,Lot No. 651 Section AH in Demarcation District No. 5 Lot No. 651 Section AG in Demarcation District No. 5 and Lot No. 258 Section B in Demarcation District No. 5,Tai Po Tau Tai Po,Other Uses,1580000,TAI PO,20 January 2005
2002,Tai Po Town Lot No. 161,Sam Mun Tsai Road Tai Po,Residential R3,10000000,TAI PO,17 May 2002
2020,Rural Building Lot No. 147 and the Extension thereto,House No. 2 20 Tai Tam Road Stanley,Residential R3,1150000,SOUTHERN,17 December 2020
2013,Rural Building Lot No. 163 Remaining Portion,House 3A 46 Island Road Deep Water Bay,Residential R3,4780000,SOUTHERN,21 August 2013
2010,Rural Building Lot No. 158 and the Extension thereto,House C3 12 South Bay Road Repluse Bay,Residential R3,1000000,SOUTHERN,26 July 2010
2010,Rural Building Lot No. 1138,House D21 and House D22 Regalia Bay 88 Wong Ma Kok Road Stanley,Residential R3,500000,SOUTHERN,26 April 2010
2009,Rural Building Lot No. 1138,House D23 and House D25 Regalia Bay 88 Wong Ma Kok Road Stanley,Residential R3,500000,SOUTHERN,30 July 2009
2010,Rural Building Lot No. 1164,House N and House P 33 Cape Road Chung Hom Kok,Residential R3,500000,SOUTHERN,1 February 2010
2004,Rural Building Lot No. 855,11 Cape Road Chung Hom Kok,Residential R3,1318100,SOUTHERN,7 September 2004
2006,New Kowloon Inland Lot No. 6242,483B & 483C Castle Peak Road Cheung Sha Wan,Non Residential,66450000,SHAM SHUI PO,26 April 2006
2006,Sha Tin Town Lot No. 470,Ho Tung Lau Fo Tan,Other Uses,71370000,SHA TIN,19 January 2006
2004,Sha Tin Town Lot No. 168,Union Hospital Fu Kin Street Sha Tin,Institution / Community,310000,SHA TIN,23 November 2004
2008,Lot No. 1447 in Demarcation District No. 243,Mang Kung Uk Clear Water Bay Sai Kung,Residential R3,1500000,SAI KUNG,19 February 2008
2015,Kwun Tong Inland Lot No. 72,Factory A1 on Ground Floor Block 1 62 Hoi Yuen Road Kwun Tong,Non Residential,59090000,KWUN TONG,15 December 2015
2015,Kun Tong Inland Lot No. 72,Factory A2 Ground Floor Block I 62 Hoi Yuen Road Kwun Tong,Non Residential,136300000,KWUN TONG,12 May 2015
2009,Kwun Tong Inland Lot No. 744 Section A and Kwun Tong Inland Lot No. 744 Remaining Portion,223 Wai Yip Street Kwun Tong,Commercial,6200000,KWUN TONG,13 November 2009
2004,New Kowloon Inland Lot No. 5864,9 Wang Kwong Road Kowloon Bay,Industrial / Godown,450000,KWUN TONG,5 July 2004
2021,Lot No. 385 Remaining Portion in Demarcation District No. 352 and the Extensions thereto,Discovery Bay Lantau Island,Residential Commercial and Other Uses,5240210000,ISLANDS,17 August 2021
2006,Tung Chung Town Lot No. 5,Man Tung Road Tung Chung Lantau Island,Commercial / Residential,450000,ISLANDS,19 December 2006
2001,Tung Chung Town Lot No. 3,Tung Chung Town Centre Lantau Island,Commercial / Residential,116000000,ISLANDS,29 August 2001
2001,Lot No. 1095 Remaining Portion in Demarcation District No. Cheung Chau,J/O Police Station Path & Cheung Chau Hospital Road Nam She Tong Cheung Chau,Village Type Development,635500,ISLANDS,21 May 2001
2022,Rural Building Lot No. 155 and the Extension Thereto,3 Severn Road The Peak,Residential R3,115030000,CENTRAL & WESTERN,6 July 2022
2010,Rural Building Lot No. 729,9 Mount Kellett Road The Peak,Residential R3,500000,CENTRAL & WESTERN,17 March 2010
2010,Rural Building Lot No. 532,54 Mount Kellett Road The Peak,Residential R4,1500000,CENTRAL & WESTERN,3 February 2010
2012,Kowloon Inland Lot No. 3303 Section A,146 Argyle Street Ho Man Tin,Residential R2,14870000,KOWLOON CITY,18 October 2012
2001,New Kowloon Inland Lot No. 6320,Lai Chi Kok Road Cheung Sha Wan,Commercial / Residential,248880000,SHAM SHUI PO,23 March 2001
2001,Kowloon Inland Lot No. 2097 Section E Remaining Portion,286 Prince Edward Road West Kowloon City,Residential R2,300000,KOWLOON CITY,21 March 2001
